band,wlv,BB_AUTO_GAB,BB_SUPER_GAB,BB_SUPER_GIULIA,BB_SUPER_V1,BB_SUPER_V2,BB_SUPER_V3
1,406.993408,1,0,0,0,0,0
2,415.838989,1,0,0,0,0,0
3,423.78476,1,0,0,0,0,0
4,431.334686,0,0,0,0,0,0
5,438.656891,0,0,0,0,0,0
6,446.014709,0,0,0,0,0,0
7,453.389465,0,0,0,0,0,0
8,460.73175,0,0,0,0,0,0
9,468.098419,0,0,0,0,0,0
10,475.318848,0,0,0,0,0,0
11,482.548157,0,0,0,0,0,0
12,489.794861,0,0,0,0,0,0
13,497.058655,0,0,0,0,0,0
14,504.511719,0,0,0,0,0,0
15,512.046387,0,0,0,0,0,0
16,519.543762,0,0,0,0,0,0
17,527.305298,0,0,0,0,0,0
18,535.052551,0,0,0,0,0,0
19,542.885132,0,0,0,0,0,0
20,550.914612,0,0,0,0,0,0
21,559.020264,0,0,0,0,0,0
22,567.206116,0,0,0,0,0,0
23,575.486816,0,0,0,0,0,0
24,583.844116,0,0,0,0,0,0
25,592.338989,0,0,0,0,0,0
26,601.014404,0,0,0,0,0,0
27,609.958191,0,0,0,0,0,0
28,618.719971,0,0,0,0,0,0
29,627.778442,0,0,0,0,0,0
30,636.67627,0,0,0,0,0,0
31,645.963806,0,0,0,0,0,0
32,655.418762,0,0,0,0,0,0
33,664.894104,0,0,0,0,0,0
34,674.464355,0,0,0,0,0,0
35,684.137268,0,0,0,0,0,0
36,694.128357,0,0,0,0,0,0
37,703.737,0,0,0,0,0,0
38,713.726868,0,0,0,0,0,0
39,723.879944,0,0,0,0,0,0
40,733.9552,0,0,0,0,0,0
41,744.149536,0,0,0,0,0,0
42,754.469604,0,0,0,0,1,0
43,764.856445,0,0,0,1,0,0
44,775.273499,0,0,0,0,1,0
45,785.659546,0,0,0,1,0,0
46,796.127014,0,0,0,1,0,0
47,806.71106,0,0,0,0,1,0
48,817.311035,0,0,1,1,0,0
49,827.919495,0,0,1,1,1,0
50,838.527222,0,0,1,1,1,1
51,849.209961,0,1,1,1,1,1
52,859.973145,0,1,1,1,1,1
53,870.742554,0,1,1,1,1,1
54,881.456055,0,0,0,1,0,0
55,892.080933,0,0,0,0,1,0
56,902.801636,0,0,0,0,1,0
57,913.445068,0,1,1,1,0,0
58,923.950195,0,1,1,1,1,1
59,934.112061,0,1,1,1,1,1
60,943.35791,0,1,1,1,1,1
61,951.401428,0,1,1,1,1,1
62,959.973999,0,1,1,1,1,1
63,969.84491,0,0,0,1,1,0
64,979.223999,0,0,0,1,1,0
65,988.917908,0,0,0,0,0,0
66,998.908203,0,0,0,0,0,0
67,1008.644287,0,0,0,0,0,0
68,1018.535706,0,0,0,0,0,0
69,1029.343994,0,0,0,0,0,0
70,1037.987793,0,0,0,0,0,0
71,1047.675049,0,0,0,0,0,0
72,1057.57373,0,0,0,0,0,0
73,1067.7948,0,0,0,0,0,0
74,1078.216064,0,0,0,1,1,0
75,1088.760986,0,1,1,0,0,0
76,1099.277588,0,1,1,1,1,1
77,1109.889404,0,1,1,1,1,1
78,1120.675903,0,1,1,1,1,1
79,1131.30481,0,1,1,1,1,0
80,1142.070313,0,1,1,0,0,0
81,1152.650146,0,1,1,1,1,1
82,1163.676025,0,1,1,1,1,0
83,1174.714233,0,0,0,0,0,0
84,1185.588379,0,0,1,1,1,1
85,1196.339355,0,0,1,1,1,1
86,1207.273682,0,0,1,1,1,1
87,1217.863525,0,0,0,0,0,0
88,1229.185181,0,0,0,0,0,0
89,1240.214478,0,0,0,0,0,0
90,1250.979858,0,1,1,1,1,1
91,1262.532227,0,1,1,1,1,1
92,1273.496338,0,1,1,1,1,1
93,1284.487793,0,1,1,1,1,1
94,1295.421753,0,0,0,0,0,0
95,1306.218018,0,0,0,0,0,0
96,1317.256592,0,0,0,0,0,0
97,1328.299316,1,1,1,1,1,0
98,1339.129395,1,1,1,1,1,1
99,1349.78772,1,1,1,1,1,1
100,1361.053101,1,1,1,1,1,1
101,1372.911743,1,1,1,1,1,1
102,1383.279785,1,1,1,1,1,1
103,1394.754028,1,1,1,1,1,1
104,1405.626831,1,1,1,1,1,1
105,1416.537354,1,1,1,1,1,1
106,1427.374756,1,1,1,1,1,1
107,1438.465942,1,1,1,1,1,1
108,1449.188843,1,1,1,1,1,1
109,1459.315674,1,1,1,1,1,1
110,1469.930786,1,1,1,1,1,1
111,1480.842163,1,1,1,1,1,0
112,1491.429199,1,1,1,0,0,0
113,1502.02356,0,0,0,0,0,0
114,1512.633301,0,0,0,0,0,0
115,1523.222168,0,0,0,0,0,0
116,1533.776367,0,0,0,0,0,0
117,1544.226196,0,0,0,0,0,0
118,1554.816772,0,0,0,0,0,0
119,1565.368774,0,0,0,0,0,0
120,1575.627441,0,0,0,0,0,0
121,1585.859741,0,0,0,0,0,0
122,1596.245361,0,0,0,0,0,0
123,1606.491333,0,0,0,0,0,0
124,1616.833618,0,0,0,0,0,0
125,1627.020996,0,0,0,0,0,0
126,1637.091919,0,0,0,0,0,0
127,1647.231567,0,0,0,0,0,0
128,1656.932983,0,0,0,0,0,0
129,1667.185059,0,0,0,0,0,0
130,1677.319336,0,0,0,0,0,0
131,1687.42688,0,0,0,0,0,0
132,1697.294312,0,0,0,0,0,0
133,1707.094482,0,0,0,0,0,0
134,1716.858887,0,0,0,0,0,0
135,1726.651611,0,0,0,0,0,0
136,1736.488281,0,0,0,0,0,0
137,1746.219238,0,0,0,0,0,0
138,1755.833008,0,0,0,0,0,0
139,1765.512695,0,0,0,0,0,0
140,1775.117798,0,0,0,0,0,0
141,1784.717285,0,1,1,0,0,0
142,1793.953125,1,1,1,1,1,1
143,1803.59021,1,1,1,1,1,1
144,1813.051392,1,1,1,1,1,1
145,1822.441284,1,1,1,1,1,1
146,1832.027222,1,1,1,1,1,1
147,1841.325562,1,1,1,1,1,1
148,1850.554321,1,1,1,1,1,1
149,1859.558716,1,1,1,1,1,1
150,1868.173218,1,1,1,1,1,1
151,1878.742554,1,1,1,1,1,1
152,1887.081055,1,1,1,1,1,1
153,1896.091309,1,1,1,1,1,1
154,1904.934692,1,1,1,1,1,1
155,1914.301514,1,1,1,1,1,1
156,1923.385742,1,1,1,1,1,1
157,1932.259888,1,1,1,1,1,1
158,1941.110718,1,1,1,1,1,1
159,1949.900757,1,1,1,1,1,1
160,1958.62439,1,1,1,1,1,1
161,1967.341797,1,1,1,1,1,0
162,1976.012939,1,0,0,0,0,0
163,1984.853027,1,0,0,0,0,0
164,1993.548218,1,0,0,0,0,0
165,2002.110596,0,0,0,0,0,0
166,2010.661377,0,1,1,1,1,0
167,2019.321411,0,0,1,1,1,0
168,2027.726685,0,0,0,0,0,0
169,2036.260742,0,0,0,0,0,0
170,2044.680908,0,0,0,0,0,0
171,2053.007813,0,0,0,0,0,0
172,2061.378662,0,0,0,0,0,0
173,2069.795654,0,0,0,0,0,0
174,2077.991455,0,0,0,0,0,0
175,2086.382324,0,0,0,0,0,0
176,2094.625244,0,0,0,0,0,0
177,2102.821289,0,0,0,0,0,0
178,2111.039063,0,0,0,0,0,0
179,2119.231445,0,0,0,0,0,0
180,2127.337158,0,0,0,0,0,0
181,2135.510254,0,0,0,0,0,0
182,2143.465576,0,0,0,0,0,0
183,2151.38623,0,0,0,0,0,0
184,2159.563965,0,0,0,0,0,0
185,2167.484863,0,0,0,0,0,0
186,2175.344238,0,0,0,0,0,0
187,2183.420166,0,0,0,0,0,0
188,2191.100342,0,0,0,0,0,0
189,2199.135254,0,0,0,0,0,0
190,2206.843018,0,0,0,0,0,0
191,2214.625,0,0,0,0,0,0
192,2222.42627,0,0,0,0,0,0
193,2230.007568,0,0,0,0,0,0
194,2237.904053,0,0,0,0,0,0
195,2245.448486,0,0,0,0,0,0
196,2253.110352,0,0,0,0,0,0
197,2260.866455,0,0,0,0,0,0
198,2268.28833,0,0,0,0,0,0
199,2276.053711,0,0,0,0,0,0
200,2283.493408,0,0,0,0,0,0
201,2290.82666,0,0,0,0,0,0
202,2298.609375,0,0,0,0,0,0
203,2305.722656,0,0,0,0,0,0
204,2313.200684,0,0,0,0,0,0
205,2320.895508,0,0,0,0,0,0
